,wg_1_w,wg_1_p_1_x,wg_1_p_1_y,wg_1_p_2_x,wg_1_p_2_y,wg_1_p_3_x,wg_1_p_3_y,wg_1_p_4_x,wg_1_p_4_y,wg_2_w,wg_2_p_1_x,wg_2_p_1_y,wg_2_p_2_x,wg_2_p_2_y,wg_2_p_3_x,wg_2_p_3_y,wg_2_p_4_x,wg_2_p_4_y
tm1_1.63,,,-0.014733927797717136,-0.20878215424246263,-0.014733927797717136,0.24941818583588202,-0.017519339747143127,,-0.017519339747143127,,,0.007080592257397604,-0.03034872240433526,0.007080592257397604,-0.05779185324302253,0.009322082549364253,,0.009322082549364253
tm1_1.634,,,-0.01579799776665021,-0.2078343874776593,-0.01579799776665021,0.24919767699784404,-0.017090359404139187,,-0.017090359404139187,,,0.007321725601840241,-0.030092667891562782,0.007321725601840241,-0.05864001947660569,0.008511703829069487,,0.008511703829069487
tm1_1.638,,,-0.016636654898399127,-0.20692190792601944,-0.016636654898399127,0.24872396310547154,-0.016738910755796903,,-0.016738910755796903,,,0.007821546105183609,-0.02972262216486438,0.007821546105183609,-0.0591797370567404,0.007547118310532237,,0.007547118310532237
tm1_1.642,,,-0.01742252212082465,-0.20618856506824448,-0.01742252212082465,0.24802866742463536,-0.01637403913471807,,-0.01637403913471807,,,0.008420642972051983,-0.02944640695879034,0.008420642972051983,-0.059383311628420525,0.006594361569674786,,0.006594361569674786
tm1_1.646,,,-0.018260935406843617,-0.2056867589344187,-0.018260935406843617,0.2470975378256113,-0.015944833505322525,,-0.015944833505322525,,,0.009079347236029503,-0.029334017577199663,0.009079347236029503,-0.05934851696135876,0.005675122437790895,,0.005675122437790895
tm1_1.65,,,-0.019187291911881604,-0.205375555150777,-0.019187291911881604,0.24589592075637245,-0.015428485621618195,,-0.015428485621618195,,,0.009770969324039003,-0.02934842343537525,0.009770969324039003,-0.05923725232630801,0.0047755604568565126,,0.0047755604568565126
tm2_1.45,,,-0.05188823157988215,0.05858596635739195,-0.05188823157988215,-0.06538595939215514,-0.01700855979089582,,-0.01700855979089582,,,-0.012796192639023594,0.04702703712877987,-0.012796192639023594,0.004211516887375406,0.025262679768561377,,0.025262679768561377
tm2_1.454,,,-0.05322332812772902,0.05968304769935523,-0.05322332812772902,-0.06528678182209141,-0.015720538537233195,,-0.015720538537233195,,,-0.011451981170819508,0.045886081089882694,-0.011451981170819508,0.0054017053962406286,0.025548966188058495,,0.025548966188058495
tm2_1.458,,,-0.054344420489347525,0.05919868125024031,-0.054344420489347525,-0.06471801447186985,-0.014248760738200151,,-0.014248760738200151,,,-0.010271441220090794,0.045710909468651084,-0.010271441220090794,0.006013092446316509,0.02538891656514817,,0.02538891656514817
tm2_1.462,,,-0.0543611215694641,0.05749718302935923,-0.0543611215694641,-0.0637803052922507,-0.013026109743357227,,-0.013026109743357227,,,-0.009508137782836287,0.04677030067425989,-0.009508137782836287,0.00604399700610296,0.025188122702724244,,0.025188122702724244
tm2_1.466,,,-0.054428427215146374,0.05724426933809131,-0.054428427215146374,-0.06372845901972579,-0.013111181257400807,,-0.013111181257400807,,,-0.00832399337232876,0.04759227509350896,-0.00832399337232876,0.0055892562778525065,0.025897894902530236,,0.025897894902530236
tm2_1.47,,,-0.054632432100870945,0.05641398135809063,-0.054632432100870945,-0.06315111310712723,-0.014122194429691717,,-0.014122194429691717,,,-0.008138983422713231,0.04748582888352549,-0.008138983422713231,0.0036692038557620777,0.02519264339905454,,0.02519264339905454
tm2_1.474,,,-0.05489347045074391,0.05615500653710458,-0.05489347045074391,-0.06252732292528813,-0.015233800700052447,,-0.015233800700052447,,,-0.009301837856115582,0.048974371083777196,-0.009301837856115582,0.002588309210847582,0.02555085421656183,,0.02555085421656183
tm2_1.478,,,-0.055184851165947194,0.056131457556253435,-0.055184851165947194,-0.061594925505422754,-0.015720266224548658,,-0.015720266224548658,,,-0.008753220041235958,0.048971095200235217,-0.008753220041235958,0.001725887848114273,0.025340470900824065,,0.025340470900824065
tm2_1.482,,,-0.05481453138380597,0.05554967013587378,-0.05481453138380597,-0.06144768386949233,-0.016228854824267707,,-0.016228854824267707,,,-0.008436663071881354,0.048835539573271955,-0.008436663071881354,0.0011312657660516095,0.024370882259480572,,0.024370882259480572
tm2_1.486,,,-0.05432961521586277,0.05607162778520925,-0.05432961521586277,-0.0620058049261817,-0.015278128126220172,,-0.015278128126220172,,,-0.009748183080635055,0.04812247419413788,-0.009748183080635055,0.00044616379200253,0.02413378697148066,,0.02413378697148066
tm2_1.49,,,-0.05503175268204765,0.0573872344379346,-0.05503175268204765,-0.06150814236384213,-0.01410022492381316,,-0.01410022492381316,,,-0.009529632906425048,0.04778341953727689,-0.009529632906425048,-0.00043550808049142774,0.023571035369590217,,0.023571035369590217
tm2_1.494,,,-0.055456664203692836,0.058580163633949245,-0.055456664203692836,-0.062183097019348085,-0.013426495439149784,,-0.013426495439149784,,,-0.0095688799848007,0.04823247069013773,-0.0095688799848007,-0.0015298614028592086,0.02389460010303338,,0.02389460010303338
tm2_1.498,,,-0.054767172874419845,0.05894475220090708,-0.054767172874419845,-0.06330000124997626,-0.014473719536674859,,-0.014473719536674859,,,-0.01105893946392154,0.04871715390511507,-0.01105893946392154,-0.0029638180813190357,0.025677146172169138,,0.025677146172169138
tm2_1.502,,,-0.05488903622525366,0.060096142716210145,-0.05488903622525366,-0.06279373287038999,-0.01503593734662199,,-0.01503593734662199,,,-0.01114783080958865,0.04843758638210719,-0.01114783080958865,-0.0037541704089036317,0.026829038097833005,,0.026829038097833005
tm2_1.506,,,-0.055259177416417164,0.06066309412997922,-0.055259177416417164,-0.0639796175359166,-0.016187161449760075,,-0.016187161449760075,,,-0.013109395359844483,0.04755569639840054,-0.013109395359844483,-0.003509114350343402,0.02854532128087718,,0.02854532128087718
tm2_1.51,,,-0.054372886819721564,0.06086870388850996,-0.054372886819721564,-0.06325979409856074,-0.017290951658622808,,-0.017290951658622808,,,-0.013674397731343487,0.04761973356691972,-0.013674397731343487,-0.0025410742900622073,0.0305005269516988,,0.0305005269516988
tm2_1.514,,,-0.055036955406679355,0.06008506117630165,-0.055036955406679355,-0.06432071130989982,-0.018554913963687115,,-0.018554913963687115,,,-0.013739982847998988,0.04880102291184007,-0.013739982847998988,-0.002281366779926013,0.03140877080187281,,0.03140877080187281
tm2_1.518,,,-0.05576158011166057,0.059521847822434706,-0.05576158011166057,-0.06696109286563327,-0.01913930920016751,,-0.01913930920016751,,,-0.012674240842638048,0.050017543235558376,-0.012674240842638048,-0.001826916189463406,0.02991344705230555,,0.02991344705230555
tm2_1.522,,,-0.0552059907271273,0.0580216007934691,-0.0552059907271273,-0.06972047238458136,-0.0204482111859603,,-0.0204482111859603,,,-0.013040409859354696,0.05162921668887213,-0.013040409859354696,-0.0015182742061800563,0.028633656272681943,,0.028633656272681943
tm2_1.526,,,-0.05377892371416234,0.058238835386506774,-0.05377892371416234,-0.07131056240518083,-0.02066608126507087,,-0.02066608126507087,,,-0.014941157491538432,0.053040990257285654,-0.014941157491538432,-0.0003172302856133062,0.027719658851323346,,0.027719658851323346
tm2_1.53,,,-0.05415152245851019,0.05875221738223636,-0.05415152245851019,-0.07237786046263245,-0.02188581867404321,,-0.02188581867404321,,,-0.01444427676052383,0.05631727645920068,-0.01444427676052383,0.0008342356642192825,0.026612914081276237,,0.026612914081276237
tm2_1.534,,,-0.05564299589672095,0.05788619691737194,-0.05564299589672095,-0.07456594461183547,-0.02114881285254513,,-0.02114881285254513,,,-0.01702392530985924,0.0583433701695309,-0.01702392530985924,0.0006747910188197553,0.025778420425345762,,0.025778420425345762
tm2_1.538,,,-0.05533659741301712,0.0585843689738504,-0.05533659741301712,-0.0783234774455787,-0.019579611664606273,,-0.019579611664606273,,,-0.01957688422383273,0.05801294369548338,-0.01957688422383273,-0.0016073503895800592,0.022794916912746713,,0.022794916912746713
tm2_1.542,,,-0.050483829966889375,0.05748093382369666,-0.050483829966889375,-0.08097118397514556,-0.01669490615575991,,-0.01669490615575991,,,-0.020467231816664655,0.058513546987974764,-0.020467231816664655,-0.001998551665918218,0.017880939753848066,,0.017880939753848066
tm2_1.546,,,-0.05001346543875681,0.05771507704006513,-0.05001346543875681,-0.0785640113826927,-0.01501997420358752,,-0.01501997420358752,,,-0.018778591061819293,0.05476600881131709,-0.018778591061819293,-0.0018029718092659444,0.020467020480977646,,0.020467020480977646
tm2_1.55,,,-0.050848792217535,0.059160399159101894,-0.050848792217535,-0.07746109875565019,-0.014991097307599817,,-0.014991097307599817,,,-0.016060780048291534,0.05374218279648314,-0.016060780048291534,0.0006505044350320481,0.023101864324225188,,0.023101864324225188
